character,dialogue
VADER,"When I left you, I was but the learner; now I am the master."
HAN,Great kid!  Don't get cocky.
VADER,"That is the system. And I'm sure Skywalker is with them. Set  your course for the Hoth system. General Veers, prepare you men."
HAN,Thank you. Thank you very much.
LUKE,I must be allowed to speak.
LUKE,"Oh, come on. How could you know my father? You  don't even know who I am.  Oh, I don't even know what I'm doing here. We're wasting our time."
YODA,"Told you, did he?"
BEN,"The Jundland Wastes are not to be traveled lightly.  Tell me, young Luke, what brings you out this far?"
THREEPIO,"Victims of the almighty Sarlacc: His Excellency hopes that you will die honorably. But should any of you wish to beg for mercy, the great Jabba the Hutt will now listen to your pleas."
LUKE,Father... I won't leave you.
LUKE,How could I be so stupid?  He's nowhere in sight.  Blast it!
THREEPIO,"I don't think they're going to let us in, Artoo. We'd better go."
HAN,"It could be a speeder, one of ours."
HAN,Grab it! Almost... You almost got it!
LUKE,Quick! Jam their comlink. Center switch!
HAN,I call it luck. 
VADER,"I've been waiting for you, Obi-Wan.  We meet again, at last.  The circle is now complete."
LEIA,"Han, get up here!"
LEIA,I know.
LEIA,"Come on, General, let's move."
LANDO,Watch out. Squad at .06.
THREEPIO,"Hang on, Artoo!"
LUKE,Sure.  He needs you.  He'd probably only deactivate you for a day or so...
BEN,This is Chewbacca.  He's first-mate on a ship that might suit our needs.
LEIA,Shall we try and go around?
HAN,It's all right. Trust me. Don't move.
HAN,How's this?
LUKE,Rouge Three.
BEN,Turn the ship around!
LUKE,This R2 unit has a bad motivator.  Look!
HAN,"Fine. Together again, huh?"
LEIA,You're imagining things.
HAN,"Yes, Your Highnessness?"
LEIA,"No, wait.  They'll hear!"
LUKE,That's all right. I'd like to keep it  on manual control for a while.
LUKE,I can't keep the vision out of my head. They're my friends. I've  got to help them.
LUKE,I'm here to rescue you.  I've got your R2 unit.  I'm here with Ben Kenobi.
BEN,It is you and your abilities the Emperor wants. that is why your  friends are made to suffer.
THREEPIO,He says there's a secret entrance on the other side of the ridge.
LUKE,Put that down. Hey! That's my dinner.
HAN,The transfer circuits are working. It's not my fault!
HAN,"What the...?  Aw, we've come out of hyperspace into a meteor shower.  Some kind of asteroid collision.  It's not on any of the charts."
LUKE,Then you know why I have to face him.
LUKE,Got him!
LUKE,"Sure, go ahead."
BEN,"We haven't that much with us.  But we could pay you two thousand now, plus fifteen when we reach Alderaan."
BEN,He will learn patience.
LUKE,He told me enough! He told me you killed him.
HAN,"It is for me, sister!  Look, I ain't in this for your revolution, and I'm not in it for you, Princess.  I expect to be well paid.  I'm in it for the money!"
LUKE,"I don't know, it just let go of me and disappeared..."
LANDO,Yes! I said closer! Move as close as you can and engage those Star Destroyers at point- blank range.
LUKE,"They're going to execute her.  Look, a few minutes ago you said you didn't want to just wait here to be captured.  Now all you want to do is stay. "
BEN,That's what your uncle told you.  He didn't hold with your father's ideals.  Thought he should have stayed here and not gotten involved.
BEN,looking for.
LUKE,"Yeah, that's what you said last year when Biggs and Tank left."
VADER,As you wish.
LUKE,I can't shake him!
LUKE,Blast it!  Wedge where are you?
THREEPIO,"Oh, my! They'll be captured!"
LUKE,Artoo!
LEIA,Closer?
LANDO,Lord Vader.
VADER,"What is thy bidding, my master?"
LANDO,"All right, Chewie. Ready for light-speed."
THREEPIO,"I'm terribly sorry about all this. After all,  he's only a Wookiee."
VADER,"Luke, help me take this mask off."
VADER,Perhaps I can find new ways to motivate them.
THREEPIO,"I'm afraid I'm not quite sure, sir. He says ""I found her,"" and keepsrepeating, ""She's here."""
LUKE,Just hang on. We're almost there.
BEN,Obi-Wan Kenobi... Obi-Wan?  Now thats a name I haven't heard in a long time... a long time.
LUKE,"Well, I finished my circle. I don't pick up any  life readings."
HAN,I hope she's alright.
THREEPIO,Don't get technical with me.
HAN,"If they don't go for this, we're gonna have to get outta here pretty quick, Chewie."
HAN,"All right, kid.  But you'd better be right about this!"
HAN,We're coming up on the sentry ships.  Hold 'em off!  Angle the deflector shields while I charge up the main guns!
HAN,Proper?!
LEIA,Their tracking us!
THREEPIO,There it is. Listen! Listen!
HAN,Who are you?
HAN,"Well, the bounty hunter we ran into on Ord Mantell changed my  mind."
HAN,Watch out!
HAN,"Thank you, General."
HAN,Then we'll have to go out on Tauntauns.
LUKE,I can't see a thing in this helmet.
VADER,The Emperor has been expecting you.
LUKE,"But I've learned so much since then. Master Yoda, I promise to  return and finish what I've begun. You have my word."
LUKE,Get alongside that one!
HAN,What's so important?  What's he carrying?
HAN,"Well, that was a long time ago. I'm sure he's  forgotten about that."
YODA,"Luke...Luke...Do not...Do not underestimate the powers of the Emperor, or suffer your father's fate, you will. Luke, when gone am I , the last of the Jedi will you be. Luke, the Force runs strong in your family. Pass on what you have learned, Luke...  There is... another...Sky...Sky...walker."
YODA,Hah. He is not ready.
LEIA,Let go.
HAN,Go get him!
HAN,"Well, anything would be better than just hanging around waiting for them to pick us up..."
THREEPIO,He made a fair move.  Screaming about it won't help you.
LEIA,"It's Luke. Chewie, slow down. Slow down and we'll get under him.  Lando, open the top hatch."
HAN,Jabba... I'll pay you triple! You're throwing away a fortune here. Don't be a fool!
HAN,"There's nothing to worry about. We go way back, Lando and me."
LUKE,Where... where is she?
LUKE,I won't fail you -- I'm not afraid.
LANDO,"That blast came from the Death Star! That thing's operational!  Home One, this is Gold Leader."
LEIA,Leia.
LUKE,I can't kill my own father.
LUKE,"Well, things haven't been the same since you left, Biggs.  It's been so...quiet."
BEN,"Luke, I don't want to lose you to the Emperor the way I lost  Vader."
THREEPIO,"You will therefore be taken to the Dune Sea and cast into the pit of Carkoon, the nesting place of the all-powerful Sarlacc."
LEIA,"Come on, let's get outta here."
THREEPIO,They're heading in this direction. What are we going to do?  We'll be sent to the spice mines of Kessel or smashed into who knows what!
LUKE,"Threepio, tell them if they don't do as you wish, you'll become angry and use your magic."
LEIA,No!  Alderaan is peaceful.  We have no weapons.  You can't possibly...
LANDO,We're getting out of here.
LUKE,Is the ship all right?
LUKE,And you will be rewarded.
HAN,Why don't you leave that crate and come with us?
HAN,"Well, short help is better than no help at all, Chewie.  Thank you. Okay."
HAN,"Look, Your Worshipfulness, let's get one thing straight!  I takeorders from one person!  Me!"
LUKE,"Well, see what you can do with him.  I'll be right back."
HAN,"I use them for smuggling.  I never thought I'd be smuggling myself in them.  This is ridiculous.  Even if I could take off, I'd never get past the tractor beam."
LEIA,They're on Dantooine.
LUKE,"Biggs, Wedge, let's close it up.  We're going in.  We're going in full throttle."
LEIA,"Oh, no."
LUKE,"Oh, no!"
THREEPIO,Don't blame me. I'm an interpreter. I'm not supposed to know  a power socket from a computer terminal.
HAN,Come on...that's it.
LEIA,What?
THREEPIO,Here we go again.
HAN,"Yeah, a Tibanna gas mine. Lando conned somebody out of it. We go  back a long way, Lando and me."
BEN,"Luke, trust me."
HAN,"No, I need you to talk to the Falcon, find out what's wrong with  the hyperdrive."
THREEPIO,"I beg your pardon, General Solo, but that just wouldn't be proper."
HAN,I heard the command center had been hit.
LUKE,"Alderaan?  I'm not going to Alderaan.  I've got to go home.  It's late, I'm in for it as it is."
LEIA,You got your clearance to leave.
HAN,I know.
THREEPIO,"Sir, I don't know where your ship learned to communicate,  but it has the most peculiar dialect. I believe, sir, it says that the power coupling on the negative axis has been polarized. I'm afraid you'll have to replace it."
LEIA,"Uh, General... count me in."
HAN,You sent Greedo to blast me.
LEIA,Put that thing away!  You're going to get us all killed.
LUKE,I'll never join you!
BEN,How long before you can make the jump to light speed?
THREEPIO,"Oh, thank goodness we're coming out of the asteroid field."
LEIA,I had nothing to do with it. General Rieekan thinks  it's dangerous for any ships to leave the system until we've activated the energy shield.
HAN,The entire starfleet couldn't destroy the whole planet.  It'd take a thousand ships with more fire power than I've...
HAN,That was no laser blast! Something hit us.
HAN,It's only a few guards. This shouldn't be too much trouble.
LUKE,Prisoner transfer from Block one-one-three-eight.
VADER,"Asteroids do not concern me, Admiral. I want  that ship and not excuses."
HAN,Take it easy.
BEN,"Rest easy, son, you've had a busy day.  You're fortunate you're still in one piece."
LANDO,"No, not actually. Our operation is small enough not to be  noticed...which is advantageous for everybody since our customers are anxious to avoid attracting attention to themselves."
LUKE,Thanks.
LANDO,This way.
HAN,"Yes, I'll bet you have."
VADER,"The Force is with you, young Skywalker. But you are not a Jedi  yet."
HAN,...I think we'd better replace the negative power  coupling.
LUKE,"Artoo, try and increase the power!"
HAN,It's not fair!
HAN,"I'm sorry, too."
VADER,Did your men deactivate the hyperdrive on the Millennium  Falcon?
HAN,What are you telling them?
LUKE,"Okay, let's go."
LANDO,Having trouble with you droid?
BEN,"Well, most of the best freighter pilots can be found here.  Only watch your step.  This place can be a little rough."
LEIA,Hold me.
HAN,"Who's scruffy-looking?  I must have hit her pretty close  to the mark to get her all riled up like that, huh, kid?"
HAN,Marching into the detention area is not what I had in mind.
LUKE,It looks like I'm going nowhere.  I have to finish cleaning those droids.
HAN,My mistake. He's an old friend of mine.
HAN,"Well, Your Highness, I guess this is it."
THREEPIO,Where could they be?
LANDO,Punch it!
THREEPIO,"Oh, this is suicide!"
HAN,"This baby's got a few surprises left in her, sweetheart."
LANDO,"There's still a chance to save Han...I mean, at the East  Platform..."
BEN,Let's just say we'd like to avoid any Imperial entanglements.
LEIA,Hurry. The Alliance should be assembled by now.
HAN,Put them back together right now.
LUKE,Good...
LUKE,"Luke, what's wrong?"
LEIA,The cave is collapsing.
LEIA,I take it back. We're going to get pulverized if we stay out  here much longer.
LUKE,Keep on that one! I'll take these two!
LEIA,That's right.
LEIA,Someone who loves you.
LUKE,So... you got your reward and you're just leaving then?
LEIA,Who's worried?
HAN,We've got to find out which cell this princess of yours is in.  Here it is... cell twenty-one-eight-seven.  You go get her.  I'll hold them here.
HAN,What?
LUKE,Leia! Leia's my sister.
LANDO,That's always been a danger looming like a shadow over  everything we've built here. But things have developed that will insure security. I've just made a deal that will keep the Empire out of here forever.
HAN,Where?
THREEPIO,"Are you there, sir?"
HAN,Luke!  Luke!
VADER,"He will join us or die, my master."
LEIA,You came in that thing?  You're braver that I thought.
LUKE,Just Luke.
LUKE,"Come on, Artoo.  We'll need your scanners."
LEIA,The main entrance to the control bunker's on the far side of that landing platform. This isn't gonna be easy.
THREEPIO,We're doomed!
LUKE,"There's more. It won't be easy for you to hear it, but you must. If I don't make it back, you're the only hope for the Alliance."
LUKE,"You don't believe in the Force, do you?"
LUKE,What a piece of junk.
LEIA,Here they come!
LANDO,"Luke, we're ready for takeoff."
THREEPIO,"Going? What do you mean, you're going. But-- but going where, Artoo? No, what! Artoo! Oh, this is no time for heroics. Come back!"
LUKE,Anywhere!  Oh!!
LUKE,Right. I'll see you shortly. There's a meteorite  that hit the ground near here. I want to check it out. It won't take long.
LUKE,What's going on?
LEIA,I don't know what you're talking about.  I'm a member of the Imperial Senate on a diplomatic mission to Alderaan...
BEN,You'll have to sell your speeder.
LUKE,"I can't do it, Artoo. I can't go on alone."
LANDO,"Why, you slimy, double-crossing, no-good swindler! You've got a  lot of guts coming here, after what you pulled."
HAN,"You said you wanted to be around when I made a mistake; well,  this could be it, sweetheart."
HAN,"Star Destroyers, two of them, coming right at us."
LUKE,Father.
LUKE,... oh-five; we'll cover for you.
HAN,"No, I don't have a landing permit. I'm trying  to reach Lando Calrissian."
HAN,"All right, all right, you old smoothie."
THREEPIO,"Oh, Artoo!  Artoo, wait for me!"
HAN,"Hey, Luke... may the Force be with you!"
VADER,The plans you refer to will soon be back in our hands.
LUKE,"It just isn't fair.  Oh, Biggs is right.  I'm never gonna get out of here!"
LEIA,That's right. Come on. Hmmm?
LEIA,Looks like you managed to cut off our only escape route.
YODA,"Ready, are you? What know you of ready? For eight hundred years  have I trained Jedi. My own counsel will I keep on who is to be trained! A Jedi must have the deepest commitment, the most serious mind.  This one a long time have I watched. Never his mind on where he was. Hmm? What he was doing. Hmph. Adventure. Heh! Excitement. Heh! A Jedi craves not these things.  You are reckless!"
LUKE,You know him!
VADER,"That is correct, Commander. And he is most displeased with your apparent lack of progress."
YODA,If you honor what they fight for...yes!
LUKE,"Mostly because of my father, I guess."
LUKE,"Steady, Dack. Attack pattern delta. Go now!"
HAN,"Now don't get jittery, Luke. There are a lot of command ships. Keep your distance though, Chewie, but don't look like you're trying to keep your distance."
LANDO,"All right, all right, all right."
LUKE,You'll find I'm full of surprises.
LEIA,What are you doing? You're not actually going into an asteroid  field?
HAN,How's the gas mine? Is it paying off for you?
HAN,Everything is under control.  Situation normal.
THREEPIO,"Might I have a word with you, please?"
HAN,Hey!
VADER,"This facility is crude, but it should be adequate to freeze  Skywalker for his journey to the Emperor."
LUKE,"Shut down all the garbage mashers on the detention level, will you?  Do you copy?"
THREEPIO,Vaporators!  Sir - My first job was programming binary load lifters... very similar to your vaporators.  You could say...
LUKE,Where are you going?  Come back!
LUKE,"H'm?  Oh, yeah, well, I guess you're too small to run away on me if I take this off!  Okay."
LANDO,"They'll have to stay here, but at least they'll be safe."
LUKE,What do you mean?  Where is it?
THREEPIO,"Sir, the odds of surviving a direct assault on an Imperial  Star Destroyer..."
LUKE,"Your thoughts betray you, father. I feel the good in you...the conflict."
HAN,"Kid, I've flown from one side of this galaxy to the other.  I've seen a lot of strange stuff, but I've never seen anything to make me believe there's one all-powerful force controlling everything.  There's no mystical energy field that controls my destiny."
LUKE,"Quietly, there might be more of them out there."
LUKE,But Han and Leia will die if I don't.
LANDO,I'll get my people to work on it.
HAN,That's 'cause droids don't pull people's arms out of their socket when they lose.  Wookiees are known to do that.
THREEPIO,"Wait a minute, where are you going?"
HAN,"Well, don't look at me, pal. I just said you were a fair pilot. I didn't know they were lookin' for somebody to lead this crazy attack."
LEIA,I know where Luke is.
LUKE,It's Vader.
HAN,The ship is almost finished. Two or Three more things and we're  in great shape.
LEIA,Come on. We gotta get out of here quick.
LEIA,"Oh, so we understand, don't we, Chewie? He had no choice."
LEIA,There are still two more of them out there!
LUKE,"I told you I'd make it someday, Biggs."
HAN,"Hey, don't worry. Chewie and me got into a lot of places more heavily guarded than this."
LEIA,There's something out there.
BEN,"Run, Luke!  Run!"
LUKE,No. No. That's not true! That's impossible!
HAN,"Stop, Chewie, stop! Do you hear me? Stop!"
BEN,They must be delivered safely or other star systems will suffer the same fate as Alderaan.  Your destiny lies along a different path from mine.  The Force will be with you... always!
THREEPIO,"Oh, my head. Oh, my goodness!"
LEIA,Quiet.
HAN,"Threepio, you tell that slimy piece of... worm-ridden filth he'll get no such pleasure from us. Right?"
LUKE,I didn't hear you give any ideas...
HAN,I don't know.  Fly casual.
LUKE,The walls are moving!
LEIA,"Oh, you make it so difficult sometimes."
THREEPIO,Artoo says the chances of survival are seven hundred  seventy-five...to one.
LUKE,What are you talking about?
VADER,Luke...it is your destiny.
BEN,"When I first knew him, your father was already a great pilot. But I was amazed how strongly the Force was with him.  I took it upon myself to train him as a Jedi.  I thought that I could instruct him just as well as Yoda.  I was wrong.  My pride has had terrible consequences for the galaxy."
LANDO,Attention! This is Lando Calrissian. The Empire has takes  control of the city. I advise everyone to leave before more Imperial troops arrive.
HAN,I don't know. All I can see is a lot of blowing sand!
LUKE,There's something not right here.
THREEPIO,"I think it might be better if I stay here and guard the  ship.  Oh, no."
LUKE,He's my father.
VADER,What do you mean?
VADER,"What is thy bidding, my Master?"
BEN,"You can't win, Darth.  If you strike me down, I shall become more powerful than you can possibly imagine."
LEIA,"Come on!  Luke, its too late!"
HAN,"Now, look, don't get any funny ideas.  The old man wants us to wait right here."
VADER,Send a scanning crew on board.  I want every part of this ship checked.
LUKE,That's it!  We did it!
LUKE,"Biggs!  Of course, I'll be up there with you!  Listen, have I got some stories to tell..."
BEN,I seem to have found it.
LUKE,"Hey, you could have broken this. Don't do that. Ohhh...you're  making a mess. Hey, give me that!"
LUKE,"Uh, you can call me Luke."
LUKE,What is it?
LUKE,"Thanks, Wedge."
LEIA,"Okay. Easy, Chewie."
HAN,"Don't worry, Chewie.  I think I know what he has in mind."
THREEPIO,"Thank the maker!  This oil bath is going to feel so good.  I've got such a bad case of dust contamination, I can barely move!"
LANDO,"Oh, not as well as I'd like. We're a small outpost and not very  self-sufficient. And I've had supply problems of every kind. I've had labor difficulties... What's so funny?"
LUKE,It followed us!
LUKE,"Chewie, take care of yourself, okay?"
LUKE,You will bring Captain Solo and the Wookiee to me.
LUKE,We're not going to regroup with the others.
LUKE,Ben...Ben.
HAN,"Sorry, sweetheart. We haven't got time for anything else."
HAN,"Well, why don't you use your divine influence and get us out of this?"
LEIA,Here they come!
HAN,Hyperdrive.
VADER,You are beaten. It is useless to resist. Don't let yourself be  destroyed as Obi-Wan did.
VADER,"There is no escape. Don't make me destroy you. You do not yet  realize your importance. You have only begun to discover you power. Join me and I will complete your training. With our combined strength, we can end this destructive conflict and bring order to the galaxy."
BEN,"I don't blame you for being angry. If I was wrong in what I did, it certainly wouldn't have been for the first time. You see, what happened to your father was my fault."
LEIA,We've lost lateral controls.
THREEPIO,Disintegrated?
LEIA,I don't know. I have a bad feeling about this.
LEIA,"She was very beautiful. Kind, but...sad.  Why are you asking me all this?"
LUKE,What's wrong with him now?
LEIA,All right. You want something to eat?
LUKE,There they are!
HAN,"She'll make point five beyond the speed of light.  She may not look like much, but she's got it where it counts, kid.  I've added some special modifications myself."
LEIA,They're coming through!
LUKE,I found out Darth Vader was my father.
LUKE,"Listen, why don't you wait out by the speeder.  We don't want any trouble."
YODA,Only what you take with you.
LUKE,What?  How?
VADER,"So, you have accepted the truth."
HAN,"Luke! Luke! Don't do this, Luke. Come on, give me a sign here."
VADER,Obi-Wan has taught you well. You have controlled your fear...  now release your anger.
VADER,Only your hatred can destroy me.
THREEPIO,Closer?!
LUKE,I'm on my way in now...
THREEPIO,We can't? How would you know the hyperdrive is deactivated?
LEIA,No. Where are we?
LEIA,This ground sure feels strange. It doesn't feel like rock at  all.
VADER,"You have learned much, young one."
LUKE,And sacrifice Han and Leia?
LUKE,I didn't know you were back!  When did you get in?
LUKE,I don't want your help. I want my lamp back. I'll need it to get  out of this slimy mudhole.
LEIA,What's wrong?
LEIA,"It's risky, but we can't hold out much longer. We have no  choice."
HAN,It'll take time. This whole party'll be for nothing if they see us.
THREEPIO,"What mission?  What are you talking about?  I've had just about enough of you!  Go that way!  You'll be malfunctioning within a day, you nearsighted scrap pile!"
LEIA,Luke...We've got to go back.
HAN,I just got this bucket back together. I'm not going to let  something tear it apart.
BEN,"I need your help, Luke.  I'm getting too old for this sort of thing.She needs your help."
LUKE,"Sure, there're more than enough droids."
LUKE,"I will not fight you, father."
LUKE,"Yes, I'm sure it's perfectly safe for droids."
LUKE,That oughta hold it for a while.
HAN,Droid of some kind. I didn't hit it that hard. It  must have had a self-destruct.
BEN,"Luke, the Force will be with you."
THREEPIO,"I see your point, sir.  I suggest a new strategy, Artoo.  Let the Wookiee win."
THREEPIO,"I don't think I can make it.  You go on, Master Luke.  There's no sense in you risking yourself on my account.  I'm done for."
LUKE,Vader's on that ship.
LUKE,"Okay.  Now, I'm going to put these on you."
LEIA,I don't like this.
VADER,A small Rebel force has penetrated the shield and landed on Endor.
LUKE,I can't. It's too big.
LUKE,Then the droid does belong to you.
HAN,Here's the terminal.
LUKE,I only wish Ben were here.
LANDO,I had no choice...
HAN,"I think my eyes are getting better. Instead of a big dark blur, I see a big light blur."
LEIA,The bucket of bolts is never going to get us past that blockade.
HAN,"Chewie, Pull us up! Come on! Okay... up, Chewie, up!"
LEIA,Then it couldn't be one of those creatures that attacked Luke.
LUKE,"No, my father didn't fight in the wars.  He was a navigator on a spice freighter."
HAN,That's a good story. I think you just can't bear to let a  gorgeous guy like me out of your sight.
HAN,You're trembling.
HAN,"No, I'm thinking a lot about it. That carbon freeze was the closest thing to dead there is. And it wasn't just sleepin'. It was a big wide awake nothing!"
HAN,"How are you feeling, kid? You don't look so bad to me. In fact,  you look strong enough to pull the ears off a Gundark."
LUKE,You want the impossible.
LEIA,Would it helped if I got out and pushed?
LANDO,This deal's getting worse all the time.
LUKE,But I was going into Toshi Station to pick up some power converters...
HAN,Never tell me the odds!
BEN,"Only a master of evil, Darth."
THREEPIO,"Just you deliver Master Luke's message and get us out of here. Oh my! Oh! Oh, no."
LUKE,"No, I'm not going to change my mind about this.   I'm not picking up any cities or technology. Massive life-form readings, though. There's something alive down there..."
HAN,"Seventeen, huh!"
HAN,"Well, you can forget your troubles with those Imperial slugs.  I told you I'd outrun 'em."
LEIA,Evacuate remaining ground staff.
LEIA,"Captain, being held by you isn't quite enough to get me excited."
THREEPIO,"Oh, dear. His High Exaltedness, the great Jabba the Hutt, has decreed that you are to be terminated immediately."
THREEPIO,I'm afraid that Artoo's sensors can find no trace of Princess Leia.
HAN,Easy... you call that easy?
BEN,"Quickly, son... they're on the move."
LEIA,"You needn't worry about your reward.  If money is all that you love, then that's what you'll receive!"
LEIA,What do you think you're doing?
HAN,"You in, kid?  Okay, stay sharp!"
LEIA,Aren't you a little short for a stormtrooper?
LEIA,"The more you tighten your grip, Tarkin, the more star systems will slip through your fingers."
HAN,"Well, if they follow standard Imperial procedure, they'll dump  their garbage before they go to light-speed, then we just float away."
LUKE,"Ben, why didn't you tell me?"
THREEPIO,Come on!
LUKE,But I've learned so much.
LUKE,That armor's too strong for blasters.
LUKE,Obi-Wan! Why didn't you tell me?
THREEPIO,"Pardon me, sir, but couldn't we go after him?"
HAN,"All right, don't lose your temper. I'll come right back and give  you a hand."
LUKE,Do you really think we're going to find a pilot here that'll take us to Alderaan?
THREEPIO,"Oh, yes, that's very good. I like that. Oh! Something's not  right because now I can't see. Wait. Wait! Oh, my! what have you done? I'm backwards, you stupid furball. Only an overgrown mophead like you would be stupid enough..."
LUKE,I don't think so. I'm looking for a great warrior.
HAN,It's the ship that made the Kessel run in less than twelve parsecs!
LUKE,"Stay here and watch after the camp, Artoo."
LUKE,"Just like new, Dack. How about you?"
HAN,Boba Fett?! Boba Fett?! Where?
LUKE,"Come on!  Why don't you take a look around?  You know what's about to happen, what they're up against.  They could use a good pilot like you.  You're turning your back on them."
THREEPIO,"I'm afraid I'm not quite sure, sir."
BEN,You can't win.  But there are alternatives to fighting.
LEIA,"Chewie, just do it."
THREEPIO,Your Royal Highness.
THREEPIO,"Mmmm. Oh, my. Uh, I, uh -- Take this off! I, uh, don't mean  to intrude here. I, don't, no, no, no...Please don't get up. No!"
THREEPIO,"Oh, where is Artoo when I need him?"
BEN,He can go about his business.
LUKE,"Steady, Rouge Two"
LUKE,There isn't any other way out.
BEN,Hello there!  Come here my little friend.  Don't be afraid.
LUKE,Artoo! Where are you?
HAN,Come on! You want me to stay because of the way you feel about  me.
THREEPIO,"Don't call me a mindless philosopher, you overweight glob of grease!  Now come out before somebody sees you."
THREEPIO,At last!  Where have you been?
THREEPIO,"Well, at least your still in one piece! Look what happened  to me!"
THREEPIO,"Well, uh, you see..."
THREEPIO,"Don't be so sure. If I told you half the things I've heard about this Jabba the Hutt, You'd probably short-circuit."
LUKE,"You couldn't bring yourself to kill me before, and I don't believe you'll destroy me now."
THREEPIO,You watch your language!
HAN,Ahhh...
LUKE,Hello.
LUKE,I will.
THREEPIO,"Well, really!"
LUKE,You fought in the Clone Wars?
LUKE,Why didn't you say so before?
HAN,Princess?
LEIA,"Someday you're going to be wrong, and I hope I'm there to see it."
HAN,"Well, it's gonna be rough, pal. I didn't want to speak for you."
LUKE,"Oh, Leia."
HAN,"Come here, you big coward!"
LEIA,You're who?
VADER,If that is your destiny.
LUKE,"Look, I can take you as far as Anchorhead.  You can get a transport there to Mos Eisley or wherever you're going."
THREEPIO,We're coming!
LUKE,"All right, I'm coming in."
LANDO,You're being put into carbon freeze.
LUKE,"Oh, Artoo, let him have it."
LANDO,"No, wait! I thought you were blind!"
THREEPIO,"Sir, it's quite possible this asteroid is not entirely  stable."
LUKE,"Thank you, sir.  I'll try."
LUKE,Yoda...
LEIA,No!
THREEPIO,"Oh, no!"
LUKE,Wait a minute!
BEN,"You see, you can do it."
THREEPIO,"What are you talking about? We're not interested in the  hyperdrive on the Millennium Falcon. It's fixed! Just open the door, you stupid lump."
BEN,"There's nothing you could have done, Luke, had you been there.  You'd have been killed, too, and the droids would now be in the hands of the Empire."
HAN,"If we can just avoid any more female advice, we ought to be able to get out of here."
LEIA,Oh!
LUKE,What good will it do us if he gets himself killed?  Come on!
THREEPIO,We're doomed.
THREEPIO,"Turn around, you wooly...!  Hurry, hurry! We're  trying to save Han from the bounty hunter!"
LUKE,"I'm not looking for a friend, I'm looking for a Jedi Master."
THREEPIO,Nobody knows where he is.
LEIA,What's he saying?
LUKE,Dack? Dack!
VADER,"Your skills are complete. Indeed, you are powerful, as the Emperor has foreseen."
HAN,I don't know how we're going to get out of this one.
HAN,Damn fool. I knew that you were going to say that!
LEIA,The code's changed. We need Artoo!
LUKE,Aaargh!
LANDO,Fighters coming in.
THREEPIO,We're doomed.
LUKE,Master Yoda... is Darth Vader my father?
LUKE,I will not turn...and you'll be forced to kill me.
LANDO,"You know, that ship saved my life quite a few times. She's the  fastest hunk of junk in the galaxy."
LUKE,What's that flashing?
LUKE,We're right above you.  Stand by.
LEIA,Chewie.
LEIA,We ran into some old friends.
BEN,"Vader humbled you when first you met him, Luke...but that experience was part of your training. It taught you, among other things, the value of patience.  Had you not been so impatient to defeat Vader then, you could have finished your training here with Yoda. You would have been prepared."
HAN,It's all a lot of simple tricks and nonsense.
THREEPIO,"I'm rather embarrassed, General Solo, but it appears you are to be the main course at a banquet in my honor."
LANDO,"Lord Vader, we only use this facility for carbon freezing. If  you put him in there, it might kill him."
HAN,Boring conversation anyway.Luke!  We're going to have company!
THREEPIO,"Oh, General Solo, somebody's coming. Oh!"
LEIA,Lando system?
VADER,"You have failed me for the last time, Admiral. Captain Piett."
HAN,"No, no! No! This one goes there, that one goes there. right?"
THREEPIO,"Your Highness, we must take this last transport. It's our  only hope."
HAN,Luke!
HAN,"Great shot, kid.  That was one in a million."
THREEPIO,"Sir, if I may venture an opinion..."
LANDO,"When we find Jabba the Hut and that bounty  hunter, we'll contact you."
LUKE,You mean it controls your actions?
HAN,No time to discuss this as a committee.
HAN,Ahh...repairs. I thought you could  help me out.
LUKE,"Not on your life!  That little droid and I have been through a lot together.You okay, Artoo?"
LUKE,Watch yourself!  Increase speed full throttle!
LUKE,"Watch that cross fire, boys."
LEIA,Over there! Two more of them!
LUKE,"All right.  Well, take care of yourself, Han... guess that's what you're best at, isn't it?"
BEN,"She hasn't been trained in the ways of the Jedi the way you have, Luke ... but the Force is strong with her, as it is with all of your family. There is no avoiding the battle. You must face and destroy Vader!"
LUKE,No. You're coming with me. I can't leave you here. I've got to save you.
BEN,Don't seem to remember ever owning a droid.  Very interesting... 
YODA,Now...the stone. Feel it.
LANDO,Pull up! All craft pull up!
LEIA,Saw what?
THREEPIO,"Oh, no! Chewie, they're behind you!"
VADER,"No, Captain, they're alive. I want every ship available to  sweep the asteroid field until they are found."
LEIA,"You do have your moments. Not many, but you have them."
VADER,"The Emperor will see me, now!"
HAN,"A...Jedi Knight? I--I'm out of it for a little while, everybody gets delusions of grandeur."
HAN,"Uh, my team's ready. I don't have a command crew for the shuttle."
HAN,Where? Found him in a junk pile?
VADER,"I hope so, Commander, for your sake. The Emperor is not as forgiving as I am."
HAN,Get back to the ship!
LEIA,"Well, looks like I'm stuck here. Trouble is, I don't know where here is."
LEIA,Ugh!
HAN,"Well your Worship, looks like you managed to keep me around for a  little while longer."
LEIA,"No, thanks."
LANDO,But what about Vader?
THREEPIO,"The message, Artoo, the message."
LEIA,"Why, I guess you don't know everything about women yet?"
HAN,"I hope the old man got that tractor beam out if commission, or this is going to be a real short trip.  Okay, hit it!"
YODA,No! No different! Only different in your mind. You must unlearn  what you have learned.
LEIA,What happened?
YODA,"Size matters not. Look at me. Judge me by my size, do you? Hm?  Mmmm."
